['c+', '*', '*', 'a+', '*', 'r+', '*', '*'] RRD RRD
['*', 'd+', '*', '*', 'c+', '-', 'p+', '*'] LLU LLU
['c+', 't+', '*', 'c+', '*', '*', 'd+', '*'] RRU RRU
['*', '-', '*', 't+', '*', '*', '-', '*'] LDD LDD
['t+', '-', '*', 'p+', '*', 'd+', 'r+', 'c+'] RRU RRU
['*', '*', '*', 'd+', '*', 'c+', '*', '*'] LDD LDD
['*', 'p+', 'd+', '*', 'r+', '*', '*', '*'] RDD RDD
['*', '*', '-', '*', '*', '*', '*', 'a+'] RUU RUU
['d+', '*', '*', '*', '-', 't+', 't+', '-'] LUU LUU
['*', '*', '*', '*', '*', 't+', 't+', 'd+'] RUU RUU
['*', 'd+', 'r+', 'c+', '*', 'c+', '-', 'a+'] LLD LLD
['*', 't+', '-', 'p+', 'c+', '*', 't+', '*'] RRU RRU
['*', '*', '*', '*', 'p+', '*', '*', '*'] RDD RDD
['t+', '-', 't+', 'd+', '*', 't+', '*', 't+'] LDD LDD
['-', 'r+', '*', '-', 't+', '*', 'p+', '*'] LLU LLU
['*', 'r+', 'c+', '*', '*', '*', 't+', '*'] LLU LLU
['t+', '*', 'r+', '*', '*', '*', '*', '-'] LLD LLD
['r+', 'r+', '*', '*', '*', 'p+', '*', 'a+'] LLU LLU
['*', 'r+', '*', '*', '*', '*', '*', '-'] LLU LLU
['*', 'r+', '*', 'p+', 'd+', 'p+', 'p+', '*'] LLU LLU
['c+', 'a+', '*', 'a+', 't+', 'r+', 'r+', 'a+'] RRU RRU
['c+', 't+', '*', 'a+', '*', 'p+', 'p+', '*'] LLU LLU
['p+', 'a+', '*', '*', 'p+', '*', 'c+', '*'] LLU LLU
['-', 'd+', 'r+', '*', '*', 'a+', '*', 'c+'] LLD LLD
['*', 'p+', '*', '*', 'a+', 'd+', 'a+', 'a+'] RRD RRD
['*', '*', '-', '*', 'p+', 'p+', 'a+', '*'] RRU RRU
['p+', 'd+', 't+', '*', 'c+', '*', 'c+', 'p+'] LLU LLU
['*', '*', 'c+', '*', '*', 'p+', '*', 'a+'] RUU RUU
['*', '*', '*', '*', 'c+', '*', '*', 'd+'] RUU RUU
['a+', '*', '*', '*', '*', 'c+', '-', '*'] LUU LUU
['*', '*', 'a+', 'p+', '*', 't+', 'a+', '*'] RRD RRD
['*', '*', 'c+', 'c+', '*', '-', '*', 't+'] RUU RUU
['*', '*', 'a+', 'c+', '*', 'c+', 't+', '*'] RRU RRU
['*', '*', '*', '-', '*', 'p+', 'a+', 'a+'] RUU RUU
['c+', '*', 't+', 'c+', '-', '-', '*', 'p+'] LLD LLD
['*', 'a+', 't+', '*', '*', '*', '*', '*'] LLD LLD
['t+', 'c+', 'p+', 't+', '*', '*', 'r+', 'd+'] RRU RRU
['*', 'p+', 'c+', 'p+', '-', 'a+', 'a+', '*'] RRU RRU
['*', 'a+', '*', '*', 'a+', 'r+', '*', 'c+'] RRD RRD
['t+', '*', '*', '*', 'a+', '*', '*', 'a+'] LUU LUU
['-', '*', '*', 'c+', 'c+', '*', '*', '*'] RDD RDD
['p+', '*', '-', 'd+', '*', '*', 'd+', '*'] RRU RRU
['-', '*', '*', '*', '*', 'c+', '*', 'r+'] RUU RUU
['-', '*', '*', '-', '-', 't+', '*', '*'] RRD RRD
['r+', 'a+', 'd+', '*', 't+', 'r+', '*', 'a+'] RRD RRD
['r+', '*', '*', 'c+', 't+', '*', '*', '-'] LUU LUU
['*', 'd+', '*', 'p+', 'p+', 'a+', 'c+', 'd+'] RUU RUU
['*', '*', '*', '*', '*', '*', '*', '*'] RUU RUU
['*', '*', 't+', '*', 'd+', 'a+', '-', '*'] RDD RDD
['t+', 'r+', '*', '*', '*', '*', 'd+', 't+'] LLU LLU
['*', '-', '*', '*', 'a+', '*', '*', '-'] RDD RDD
['-', '-', '*', 'c+', '*', 'r+', '*', '*'] RRD RRD
['c+', '*', '*', '*', '*', 'c+', '*', '-'] RRD RRD
['*', '*', '*', '*', '*', 'a+', 'r+', '*'] RRU RRU
['c+', '-', '*', 't+', 't+', 'a+', '*', 'd+'] RUU RUU
['*', '*', 'a+', 'c+', 'r+', '*', '*', '*'] RDD RDD
['*', '*', '*', '*', 'p+', 'r+', 'a+', '*'] RRD RRD
['d+', '*', 'a+', '-', 'c+', 't+', 't+', '*'] LUU LUU
['c+', '*', '*', 'r+', 'c+', 'p+', 'p+', 'c+'] LDD LDD
['*', 'r+', 'p+', '*', '-', 'c+', 'r+', 'a+'] RRU RRU
['d+', 'a+', 'r+', 'c+', '*', '*', '*', 'a+'] LLD LLD
['*', 'd+', '*', 't+', '*', '*', 'p+', 't+'] LLU LLU
['d+', 'r+', 'a+', '*', '*', '*', '*', 'c+'] LLU LLU
['a+', '*', 'r+', 't+', 'c+', '*', '*', 'a+'] LLD LLD
['-', '*', '*', '-', '*', '*', '-', '*'] RRU RRU
['t+', 't+', 'd+', '*', 'c+', 'p+', '*', 'c+'] LLD LLD
['d+', 'a+', '*', '-', '*', '*', 'r+', '*'] RRU RRU
['*', '*', 'p+', '*', '*', '*', 'd+', 'a+'] RRU RRU
['t+', 'p+', '*', '*', '*', '*', 'r+', '*'] RRU RRU
['*', 't+', 't+', '*', '*', '*', '*', 'a+'] LLD LLD
['t+', 'd+', '*', '*', 'r+', '*', '*', '*'] RDD RDD
['*', '*', '-', '*', '*', '-', '*', 'd+'] RUU RUU
['*', '-', 'a+', 'r+', '*', '*', '*', '*'] LDD LDD
['*', '*', '*', 'r+', 'r+', '*', '*', 'd+'] RDD RDD
['*', 't+', '*', '*', '*', 'd+', 'p+', '*'] RRD RRD
['*', '*', 'c+', '*', 'r+', '*', 'd+', '*'] RDD RDD
['c+', 'c+', '*', '*', '-', '*', '-', '*'] LLU LLU
['c+', 't+', '*', '*', 'a+', '*', '*', '*'] LLU LLU
['d+', '-', 'p+', '*', 'c+', '*', '*', '*'] LUU LUU
['*', '*', '*', 'a+', '*', '*', 'p+', '*'] LDD LDD
['p+', 'd+', '*', 'd+', 'p+', '*', '-', '*'] LDD LDD
['*', 'r+', 't+', 'c+', '*', 'a+', 'a+', 'a+'] LLU LLU
['-', '*', '*', 'r+', 't+', '*', 'r+', '*'] RRU RRU
['*', '-', 'c+', '*', '*', '-', '*', 'c+'] RUU RUU
['*', '*', '-', '*', 'a+', 'c+', 'd+', '*'] RRU RRU
['*', 't+', '*', 'c+', 'd+', 'a+', '-', '-'] RDD RDD
['*', '*', '*', 'd+', '*', 'r+', '*', '*'] RRD RRD
['d+', 'd+', 'p+', '*', 'a+', '*', '*', '*'] LLU LLU
['p+', 't+', '*', 'd+', '*', 'r+', '*', '*'] RRD RRD
['*', 't+', '*', '*', 'p+', '*', '*', 'd+'] RUU RUU
['p+', 't+', '*', 'd+', '*', 'd+', '*', '*'] RRD RRD
['*', '*', '*', '-', 't+', '*', 'r+', '*'] RRU RRU
['a+', '*', '*', 'd+', 'c+', '-', 'c+', '*'] LDD LDD
['*', 'd+', '*', '*', 'r+', 'd+', '*', 'r+'] RUU RUU
['t+', 'a+', 't+', 'd+', 'c+', 'a+', 't+', '-'] LDD LDD
['*', 'c+', '*', '-', '-', 'r+', '*', '-'] RRD RRD
['d+', 't+', 't+', '*', 'p+', 't+', '*', 'p+'] LUU LUU
['r+', '*', 'c+', 't+', '*', 'p+', 'c+', 'd+'] LUU LUU
['*', '*', 'c+', '*', '-', '*', '*', '*'] LLD LLD
['c+', 'p+', '-', 'c+', 'a+', '*', 'c+', '-'] RDD RDD
['*', '*', '*', 'r+', '*', '*', '*', '*'] LDD LDD
['p+', 'c+', '-', '*', 'd+', '*', 'r+', '*'] RRU RRU
['*', '*', '*', '*', '*', 'r+', '-', 'a+'] RRD RRD
['*', '-', '*', '*', 't+', '*', '*', 'r+'] RUU RUU
['*', 'd+', 'c+', '*', '*', '*', 'c+', '*'] LLU LLU
['p+', '-', 'a+', '*', '*', 'r+', '*', '*'] RRD RRD
['*', 'r+', 'd+', 'c+', 'p+', 'p+', 'd+', 'a+'] LLU LLU
['*', '*', 'r+', 'r+', '*', 'd+', '*', '*'] LDD LDD
['*', '*', '*', '*', '-', 'p+', '*', '*'] RRD RRD
['*', '*', 'r+', '*', 'p+', '*', '*', 't+'] LLD LLD
['*', '*', 'a+', 'a+', '*', 'd+', 'r+', '-'] RRU RRU
['*', 'r+', '-', '*', '*', 'r+', '*', 'c+'] RRD RRD
['*', 'r+', 'a+', '*', 'p+', 'r+', '*', '*'] RRD RRD
['*', '*', 'p+', '-', '*', 't+', 'd+', '*'] RRU RRU
['t+', 'd+', '*', 'c+', '*', 'r+', 'd+', 'p+'] RRD RRD
['d+', 'p+', '*', 'r+', 'p+', 'd+', '-', '-'] LDD LDD
['*', '*', '*', '*', '*', 'd+', '*', '*'] RRD RRD
['*', '-', 'r+', 't+', 'a+', 'p+', '*', '*'] LLD LLD
['t+', '*', '*', 'p+', 'a+', 'r+', 't+', '*'] RRD RRD
['*', 'c+', '*', '*', '*', '*', 'a+', 'r+'] RUU RUU
['*', '*', '*', '*', '*', 'd+', '*', '*'] RRD RRD
['*', '*', '*', '*', 'p+', 'c+', 'd+', 'p+'] RRU RRU
['*', 'c+', 'd+', 'p+', '*', '*', '*', 'c+'] LLD LLD
['*', 'p+', '*', 'a+', 'c+', '*', 'r+', 'p+'] RRU RRU
['c+', 't+', '*', '*', '-', 'c+', '-', '*'] LLU LLU
['p+', '*', 't+', 'r+', 'a+', '*', 'r+', 'a+'] RRU RRU
['c+', 'd+', '*', '*', '*', '*', 'c+', 't+'] LLU LLU
['*', 'p+', '*', 't+', 'a+', 'p+', 'r+', 'a+'] RRU RRU
['c+', 'c+', '*', '*', 'p+', '*', '*', '-'] LLU LUU
['t+', '*', '*', '-', '*', 'a+', '*', '*'] LUU LUU
['d+', 'p+', 'r+', '*', '-', '*', 'r+', 'a+'] RRU RRU
['p+', 'p+', '*', '*', 'p+', '*', 'a+', '*'] RRU RRU
['*', 'a+', 'd+', '*', 'r+', '*', 'r+', '*'] RRU RRU
['c+', 'r+', '*', '*', 'c+', 't+', 'c+', 'p+'] LLU LLU
['*', '*', '*', 'p+', '*', '*', 'a+', '-'] RRU RRU
['p+', '*', 'd+', 'p+', '*', 'r+', 'd+', 'p+'] RRD RRD
['*', 't+', '*', '*', '*', 't+', 'p+', 't+'] RUU RRD
['c+', '*', '*', 'p+', 'a+', 'r+', 'd+', 'r+'] RUU RUU
['t+', '*', 't+', '*', '*', '*', '*', 't+'] RUU RUU
['*', 'p+', 't+', '*', 'c+', '*', '*', 'r+'] RUU RUU
['*', '-', '-', '*', '*', '-', '*', 'r+'] RUU RUU
['*', '*', 't+', 'c+', 'c+', '*', '*', '*'] LLD LLD
['*', '*', '*', '*', 'p+', 'a+', '*', 'c+'] RRD RRD
['*', 'r+', 'a+', 'p+', 'r+', 'c+', 'c+', 'r+'] RUU RUU
['c+', '*', '*', 'c+', 't+', '*', '*', 'a+'] RDD RDD
['*', '*', '*', 'd+', '*', '*', '*', '*'] LDD LDD
['-', '*', '*', '*', '*', 'r+', '*', '*'] RRD RRD
['*', '-', '-', '*', '*', '*', 'a+', '*'] RRU RRU
['*', 'a+', '*', 'a+', '*', '*', '*', 'c+'] LDD LDD
['t+', '*', 'c+', 'p+', 'c+', '*', 'c+', '*'] LUU LUU
['c+', '*', '*', '*', '-', 'd+', '*', '-'] RRD RRD
['a+', 'a+', 'c+', 'c+', '*', '*', '*', 'p+'] LLU LLU
['-', '*', 'r+', 'r+', '-', 'a+', '-', 'p+'] LDD LDD
['-', 'a+', 'd+', '*', '*', '*', 'a+', 'p+'] LLD LLD
['*', '*', '*', '*', '-', 'p+', '*', 'r+'] RUU RUU
['*', '*', 'c+', 'd+', '*', '*', 't+', 't+'] LDD LDD
['p+', '*', 'c+', '*', 'r+', '*', 't+', 'd+'] RDD RDD
['a+', '*', '*', 'd+', '*', '*', 't+', 't+'] LDD LDD
['*', '*', '*', 'a+', '*', '*', '*', '*'] LDD LDD
['*', '-', '*', '*', '*', '*', '*', 'r+'] RUU RUU
['c+', '*', 'd+', 'c+', 'd+', 'a+', 'c+', 'd+'] RUU RUU
['d+', '*', '*', '*', '*', '-', '*', '*'] LUU LUU
['d+', 'p+', 'a+', 'r+', 'p+', '*', 'c+', 't+'] LDD LDD
['c+', 'c+', 'c+', '*', '*', 'p+', '*', '*'] LLD LLD
['*', '-', '*', 'd+', 'a+', 'd+', '*', '*'] RRD RRD
['*', 'c+', 'c+', 'd+', 'd+', 'c+', '*', '*'] RDD RDD
['*', 't+', 'd+', '*', '*', '*', 't+', '*'] LLD LLD
['-', '*', 't+', '-', '*', '*', 'a+', '*'] LLD LLD
['*', '*', '-', 'd+', '*', 'c+', '*', '*'] LDD LDD
['*', 't+', 't+', 'p+', 't+', '*', 'c+', '*'] RDD RDD
['-', 'p+', '*', '*', '*', '*', '*', '*'] LLU LLU
['p+', '-', '-', 'r+', 'c+', '-', 'c+', 't+'] LDD LDD
['p+', 'r+', '*', '*', 'd+', '*', 'p+', '*'] LLU LLU
['t+', 'c+', '*', '-', 'c+', 'd+', '*', '*'] RRD RRD
['r+', '*', '*', '-', '*', '*', '*', '*'] LUU LUU
['c+', '*', 't+', 'a+', '*', 'p+', '*', '*'] LLD LLD
['*', '*', 'a+', '*', 'r+', 'c+', '-', '-'] RDD RDD
['r+', '*', 'r+', '*', '*', '-', '*', '*'] LLD LLD
['*', '*', '*', 'a+', 't+', '*', '*', 'd+'] RUU RUU
['*', 'c+', '-', '-', 'r+', '*', '*', 'd+'] RDD RDD
['*', 'p+', '*', 'c+', '-', '*', '*', '*'] LDD LDD
['*', '*', '*', 't+', '*', 'c+', 't+', '*'] RRU RRU
['r+', '*', 'a+', '*', 'p+', 'a+', 'p+', '*'] LUU LUU
['*', 't+', 'c+', '*', 'a+', 'r+', 'r+', '*'] RRU RRU
['*', '*', 'r+', 'p+', 'r+', '*', '*', '*'] RDD RDD
['a+', '*', 'c+', 'd+', '*', '*', 'p+', 'r+'] RUU RUU
['*', '*', 'r+', 'c+', 't+', '-', '*', '*'] LLD LLD
['*', '-', 't+', 'a+', '*', 'd+', 'c+', '*'] RRD RRD
['t+', '-', '*', '*', '*', 'a+', '*', '*'] LUU LUU
['*', 'r+', 'r+', 'a+', 'r+', '*', 'r+', '*'] RRU RRU
['d+', 'c+', '*', 'c+', '*', 'd+', 'c+', '*'] RRD RRD
['*', 't+', 'a+', '*', '*', '*', '*', '*'] LLU LLU
['*', '*', '*', '*', '*', '*', '*', 'c+'] RUU RUU
['t+', 'c+', '*', '*', 'r+', 't+', 'r+', '*'] RRU RRU
['d+', '-', 'c+', '*', '*', 'd+', '*', '*'] RRD RRD
['*', '*', '*', '-', 'd+', 't+', '*', '*'] RDD RDD
['t+', 't+', 'r+', '*', '*', '*', '*', '*'] LLD LLD
['r+', 't+', '*', '*', 't+', 'c+', 't+', '*'] LUU LUU
['*', 'a+', 'p+', 'a+', '*', '*', '*', '*'] LDD LDD
['*', 'a+', 'd+', '*', '*', 't+', '*', '-'] LLD LLD
['*', '-', 'r+', '*', 'd+', 'r+', 'd+', '*'] RRD RRD
['*', '*', 'r+', 'c+', '*', '*', 'a+', 'd+'] LLD LLD
['*', '*', 'p+', 'p+', '*', '-', '*', '*'] LDD LDD
['a+', 'd+', '*', '*', '*', '*', '*', 't+'] LLU LLU
['p+', 'r+', 'a+', '*', '*', '*', 't+', 'c+'] LLU LLU
['*', '*', 'd+', 't+', 'r+', 'r+', '*', '-'] RRD RRD
['*', 't+', 'd+', 'c+', '*', '-', 'r+', 'd+'] RRU RRU
['*', 'p+', 'd+', 'c+', 'c+', 'd+', '*', 'a+'] RRD RRD
['d+', '-', 'd+', '*', 'a+', 't+', '*', '*'] LLD LLD
['*', 'p+', '-', 'c+', '*', '*', '*', 'a+'] RUU RUU
['*', '*', '*', '*', '*', 'p+', 'c+', '*'] RRU RRU
['*', 'd+', '*', '*', '*', '-', '*', '*'] LLU LLU
['d+', '*', 't+', '*', '*', 'a+', '*', '*'] LUU LUU
['t+', 'c+', '-', '*', '*', '*', '*', 'r+'] RUU RUU
['*', '*', '*', '*', 'p+', '*', '*', 'd+'] RUU RUU
['*', 'd+', '*', '*', '*', '*', '*', 'p+'] LLU LLU
['*', '-', '*', 'c+', 't+', 'p+', '*', '*'] RDD RDD
['a+', '-', '-', 'r+', 'r+', 'p+', '-', '*'] RDD RDD
['c+', 't+', 'c+', '*', 'r+', '*', 'd+', 't+'] RDD RDD
['-', '*', '*', 'a+', 'a+', 'c+', '*', 't+'] RUU RUU
['*', '*', 'd+', '*', '*', 'd+', 'c+', '*'] RRD RRD
['a+', '*', 'a+', '*', 'd+', '-', '*', 't+'] RDD RDD
['*', '-', '-', '*', '-', 't+', '*', 'd+'] RUU RUU
['*', '*', '*', 'd+', '*', 't+', 'r+', '*'] RRU RRU
['c+', '*', '*', '*', 'c+', '*', '*', 'p+'] RDD RDD
['*', '*', '-', '*', 'a+', 'p+', '*', 'c+'] RDD RDD
['*', 'c+', '*', '*', 't+', 'a+', 'a+', '*'] RDD RDD
['*', '*', 't+', '*', '*', 'r+', 'd+', 't+'] RRD RRD
['c+', '*', 'c+', '*', 't+', 'p+', 'r+', 'd+'] RRU RRU
['-', '*', '*', 'a+', '*', '*', 'a+', '*'] RRU RRU
['c+', '*', '*', '*', '*', '*', '*', '*'] LUU LUU
['*', 'r+', '*', 'r+', 't+', 'd+', '*', 'r+'] RUU RUU
['d+', '-', '*', '*', 't+', 'a+', '*', 'c+'] LUU LUU
['-', '*', '*', '-', '*', '*', 'a+', '*'] RRU RRU
['r+', '*', '*', 'c+', '*', 'r+', '-', 'd+'] RRD RRD
['d+', 'a+', 'a+', 'p+', '-', 'c+', 't+', '*'] LUU LUU
['t+', 'p+', '*', '*', '*', '*', 'a+', '-'] LUU LUU
['*', 't+', '*', 'c+', 't+', 'a+', '-', '*'] RDD RDD
['*', 'd+', 'd+', '*', 't+', '*', '*', '*'] LLD LLD
['r+', 'a+', '*', '*', '*', '*', '*', '*'] LUU LUU
['t+', '*', 'c+', 'r+', '-', '*', '*', 'r+'] RUU RUU
['*', 'c+', '*', '*', '*', 'c+', 'a+', '*'] RRU RRU
['*', 'r+', 'p+', 'r+', '*', '*', 'd+', 'r+'] RUU RUU
['r+', '*', '*', '*', 'a+', '*', '*', '*'] LUU LUU
['*', 'p+', '-', '*', 'a+', '*', '*', '*'] RDD RDD
['*', '*', '*', '*', '*', '*', 'r+', 'r+'] RUU RUU
['*', '*', '*', '*', '*', 'a+', '*', '*'] RRD RRD
['r+', 'd+', '*', 'c+', 'd+', '*', 'a+', '-'] LUU LUU
['c+', 'c+', 'a+', '*', 'r+', 'r+', '*', 'c+'] RRD RRD
['*', 'a+', 'r+', '-', '-', 'a+', '-', '*'] LLD LLD
['*', '*', '*', '*', '*', '*', 'd+', '*'] RRU RRU
['*', '*', 'd+', '*', '*', '*', '*', 'p+'] LLD LLD
['*', '*', '*', 'a+', '-', 'a+', 'c+', '*'] RRD RRD
['p+', '*', 'p+', '*', '*', '*', '*', '*'] LLD LLD
['t+', '*', 'd+', '*', 'a+', '*', 'd+', '*'] RRU RRU
['t+', '*', '*', '*', '-', '*', 'd+', '*'] RRU RRU
['*', '*', '*', 'd+', 'c+', '*', '*', '-'] LDD LDD
['-', 'r+', 'd+', 'r+', '*', 'a+', 'r+', '*'] RRU RRU
['*', 't+', '*', 'a+', '*', '*', '*', '*'] LLU LLU
['*', '-', '*', 'a+', 'd+', '*', 'a+', '*'] RDD RDD
['*', '*', 'r+', '*', '*', '*', '*', 'r+'] RUU RUU
['p+', '-', 't+', 'c+', 'p+', 't+', '*', '*'] RRD RRD
['t+', '*', 'a+', '*', 'r+', '*', 'a+', '*'] RDD RDD
['r+', 'c+', 'r+', 't+', 'p+', 'r+', 't+', 'd+'] RRD RRD
['t+', '-', 't+', '*', 'd+', '*', 't+', '*'] RDD RDD
['d+', '*', 'c+', '*', 'd+', '*', '*', '*'] RDD RDD
['*', '*', '*', 'c+', 'a+', 'p+', '*', '*'] RDD RDD
['p+', '*', 'd+', 'a+', '*', '*', '*', 'r+'] RUU RUU
['*', 'c+', 't+', 'p+', 'd+', '*', '*', 't+'] RDD RDD
['*', '*', '*', '*', 't+', '*', 'a+', '*'] RDD RDD
['*', 'd+', 't+', '-', '*', '*', '*', '-'] LLU LLU
['*', '*', 'd+', 'c+', '-', '*', '*', 'r+'] RUU RUU
['*', 'p+', 'd+', '*', '*', 't+', 'c+', '*'] LLD LLD
['p+', '-', 'c+', 'c+', '*', '*', '*', '*'] LDD LDD
['*', '*', 'r+', 'd+', '-', '*', '-', 'a+'] LLD LLD
['c+', '*', 'a+', '*', '*', 'r+', 'c+', 't+'] RRD RRD
['-', 't+', '*', 'p+', 'r+', 'd+', '-', '*'] RDD RDD
['*', '*', 'p+', 't+', 'd+', 'a+', '*', 'd+'] RUU RUU
['*', '-', '-', 'p+', 'p+', 'r+', '*', 'd+'] RRD RRD
['*', '*', '*', 'd+', 'a+', 't+', '*', 't+'] LDD LDD
['a+', 't+', 'd+', 'p+', '*', 'd+', '*', 'd+'] RUU RUU
['-', '*', 'c+', 'r+', 'p+', '*', '*', 'p+'] LDD LDD
['a+', 'c+', 'd+', 'c+', 't+', 'c+', '*', '*'] LLD LLD
['*', 't+', '*', '*', '*', 'r+', '*', '*'] RRD RRD
['*', 'p+', 'p+', '*', 'p+', '*', '*', 'p+'] RUU LLU
['*', '*', '*', 't+', 'c+', 'a+', '*', '*'] LDD LDD
['*', '*', 'p+', 'c+', '*', '*', '*', 't+'] RUU RUU
['a+', '*', '*', '*', '*', '-', '*', 'r+'] RUU RUU
['*', '*', '*', '*', '*', 'c+', 'c+', '*'] RRU RRU
['a+', 'd+', '*', 'd+', '*', '*', 'd+', '*'] RRU RRU
['t+', '-', 'd+', '*', 'c+', 'a+', '*', '*'] LLD LLD
['*', '*', '*', 'd+', '*', 'd+', '-', 'p+'] RRD RRD
['*', '*', 't+', 't+', 'p+', '*', 'a+', '-'] LDD LDD
['-', '*', '*', '*', '*', '-', '-', '*'] RRU RUU
['r+', 't+', 't+', '-', 'd+', '*', 'r+', 'r+'] RUU RUU
['-', '*', '*', '*', '*', '*', 'a+', '*'] RRU RRU
['c+', 't+', '*', 'p+', 'c+', '-', '*', '*'] LLU LLU
['c+', 'r+', 'c+', '*', '*', '*', 'd+', '*'] LLU LLU
['p+', '*', '*', '*', 'r+', '*', 'c+', 'a+'] RDD RDD
['*', 'p+', '*', '*', 'p+', '*', '*', 'd+'] RUU RUU
['p+', 'd+', '-', 'p+', '*', 'p+', '*', '*'] LLU LLU
['a+', '*', '*', 'a+', 't+', '*', 'a+', 'a+'] RDD RDD
['*', 'r+', '*', '*', 'p+', '*', 'd+', '*'] LLU LLU
['-', '*', 't+', 'c+', '*', '*', '-', '*'] LLD LLD
['a+', 'p+', '*', '*', '*', '*', '*', '*'] LUU LUU
['*', 'd+', '*', 'd+', 'a+', '*', '-', '*'] LDD LDD
['*', 'd+', '-', 'a+', 'p+', 't+', '*', '*'] LLU LLU
['*', 'd+', 't+', 'p+', '*', 'p+', '*', '*'] LLU LLU
['*', '*', '*', 'a+', 'p+', '*', '*', '*'] LDD LDD
['*', 'c+', 'd+', '-', 'p+', '*', 'p+', 'd+'] RUU RUU
['a+', '*', 'c+', '*', '*', '*', 'c+', '*'] LUU LUU
['t+', 'c+', '*', 'd+', 'p+', '-', '*', '*'] LDD LDD
['*', '*', '*', '*', 't+', '*', '*', 't+'] RUU RUU
['*', '*', '-', '*', 'a+', 'p+', '*', '*'] RDD RDD
['a+', '-', 'r+', 'p+', '*', '-', '*', 'r+'] RUU RUU
['d+', '*', 'p+', 'c+', '*', 'a+', '*', '*'] LUU LUU
['*', '*', 'a+', '-', '-', '-', 'a+', 'd+'] RUU RUU
['*', '*', 'd+', '-', '*', '*', 'r+', '*'] RRU RRU
['*', 'd+', '*', '-', '*', '*', 'a+', '*'] LLU LLU
['c+', '*', '*', 'a+', 'a+', '*', 'p+', '*'] RDD RDD
['*', 'c+', '*', '*', 'd+', '*', '*', 'd+'] RUU RUU
['a+', '*', '*', '*', 'a+', '*', 't+', '*'] RRU RRU
['*', 'c+', 'c+', '*', '-', '*', 'c+', '*'] RRU RRU
['*', '-', 'c+', '*', '*', 'r+', 't+', '*'] RRD RRD
['*', '*', '*', 'c+', 'c+', '*', 'd+', 'c+'] RRU RRU
['a+', '*', 'r+', 'a+', '*', 't+', 'c+', 'r+'] RUU RUU
['-', 't+', 't+', '-', '*', 'c+', '*', '*'] LLD LLD
['d+', '*', '*', '*', 'p+', '*', '*', 'c+'] LUU LUU
['*', '*', 'p+', 'c+', '*', 't+', '*', '*'] RRD RRD
['p+', '*', '*', 'r+', '*', '*', '*', 'a+'] LDD LDD
['*', 'r+', '*', 'd+', 'p+', 'r+', 'p+', '*'] RRD RRD
['*', '*', '*', '-', 'r+', 'c+', '*', 'r+'] RUU RUU
['r+', 'a+', 'a+', '*', '*', '*', 't+', 'a+'] LUU LUU
['t+', 'a+', 'd+', '*', '*', '*', '*', 't+'] LLD LLD
['a+', 'c+', '*', 'd+', 'p+', 'd+', 'a+', '*'] RRD RRD
['*', 'a+', 'r+', '*', 'd+', '*', '*', 'a+'] LLD LLD
['*', 'r+', 'a+', '*', '*', '*', '-', '*'] LLU LLU
['*', '-', '*', 'p+', 'd+', 'a+', '*', '*'] RDD RDD
['*', '*', 'r+', 'r+', 'p+', 'c+', '*', '*'] LDD LDD
['*', '*', '*', 't+', '*', 'p+', '*', 'd+'] RUU RUU
['a+', '*', '*', '-', 'a+', 't+', 'c+', 't+'] RUU RUU
['*', '-', '*', '*', '*', '*', '*', '-'] RUU RUU
['*', '*', '*', '*', '*', 'a+', 'r+', '*'] RRU RRU
['*', 'p+', 'd+', '*', '*', '*', 'r+', '*'] RRU RRU
['*', 'r+', 'r+', 'd+', '*', '*', '*', 'c+'] LLD LLD
['*', '*', '*', '*', '*', '*', '*', '*'] RUU RUU
['*', 'c+', 'p+', '-', '*', '*', '*', '*'] LLU LLU
['d+', '-', '*', 'c+', '*', 'd+', 'd+', '*'] RRU RRU
['*', 'a+', 't+', '*', 'c+', 'a+', 'r+', 'c+'] RRU RRU
['*', 'p+', '*', 't+', 't+', '-', 'r+', 'p+'] RRU RRU
['*', 't+', '*', '*', 'p+', '*', 'r+', 'r+'] RUU RUU
['*', '*', '*', '*', '*', '*', 'd+', '*'] RRU RRU
['-', 'r+', '-', 'a+', '*', 'd+', '*', 'p+'] LLU LLU
['*', 'd+', 't+', 't+', '*', '*', '*', '*'] LLU LLU
['-', '*', '*', '-', 'c+', 'p+', 'r+', 'p+'] RRU RRU
['d+', '*', '-', '-', 'p+', 'a+', 'a+', '*'] LUU LUU
['*', 'p+', '*', '*', '*', '*', '*', 'r+'] RUU RUU
['*', 'a+', 'c+', '*', 'p+', '*', 'r+', '*'] RRU RRU
['p+', '*', '*', '*', 'r+', 'c+', 'c+', '*'] RDD RDD
['r+', '*', 'd+', 'c+', '*', 'd+', '-', '*'] LUU LUU
['c+', '-', 't+', '*', 'd+', '*', '*', '*'] RDD RDD
['*', '*', '*', '-', '-', '*', '*', 'd+'] RUU RUU
['r+', 'c+', '*', '*', 'c+', '*', '*', '*'] LUU LUU
['*', '*', 't+', '*', 'd+', '*', '*', '*'] RDD RDD
['c+', '*', '*', 'p+', '*', '*', 'a+', '-'] RRU RRU
['a+', '*', 'c+', '*', '*', '*', 'p+', '*'] LUU LUU
['-', '*', '*', 'p+', '*', '*', '*', 'r+'] RUU RUU
['r+', 't+', '*', 't+', '*', 'a+', 't+', 'r+'] RUU RUU
